OrderDate,ProductID,Quantity,TotalAmount,UnitPrice,Category,IsHoliday
2020-01-01,P00001,2,1066.43,530.01,Toys & Games,1
2020-01-01,P00002,5,34.02,6.76,Home & Kitchen,1
2020-01-01,P00003,4,1891.58,424.045,Sports & Outdoors,1
2020-01-01,P00004,4,1474.3700000000001,343.155,Clothing,1
2020-01-01,P00005,5,1203.94,199.415,Home & Kitchen,1
2020-01-01,P00006,8,1368.49,200.26,Toys & Games,1
2020-01-01,P00008,3,865.22,330.04,Books,1
2020-01-01,P00009,2,266.12,135.51,Sports & Outdoors,1
2020-01-01,P00014,6,2338.88,389.91,Clothing,1
2020-01-01,P00016,17,7377.530000000001,377.065,Electronics,1
2020-01-01,P00017,2,689.95,289.3,Sports & Outdoors,1
2020-01-01,P00018,1,207.66,190.21,Electronics,1
2020-01-01,P00019,3,75.86,27.56,Clothing,1
2020-01-01,P00020,3,1713.12,539.7249999999999,Electronics,1
2020-01-01,P00021,3,1594.97,477.725,Sports & Outdoors,1
2020-01-01,P00022,3,1143.48,348.35,Electronics,1
2020-01-01,P00024,3,1653.12,565.67,Books,1
2020-01-01,P00025,4,2209.4,508.245,Clothing,1
2020-01-01,P00026,3,261.63,101.74000000000001,Books,1
2020-01-01,P00027,10,4563.04,440.3,Books,1
2020-01-01,P00028,1,85.87,83.46,Sports & Outdoors,1
2020-01-01,P00029,6,1744.32,311.36,Electronics,1
2020-01-01,P00031,3,1347.31,498.82,Sports & Outdoors,1
2020-01-01,P00032,5,2014.22,449.66,Books,1
2020-01-01,P00035,2,886.1,409.03,Toys & Games,1
2020-01-01,P00036,4,360.25,89.46,Books,1
2020-01-01,P00038,9,3216.32,344.2175,Sports & Outdoors,1
2020-01-01,P00039,5,484.04,87.47999999999999,Books,1
2020-01-01,P00040,4,1596.97,475.28,Sports & Outdoors,1
2020-01-01,P00041,2,1106.42,545.68,Home & Kitchen,1
2020-01-01,P00042,7,807.04,122.465,Sports & Outdoors,1
2020-01-01,P00043,7,1539.21,272.98499999999996,Books,1
2020-01-01,P00045,1,467.98,468.59,Sports & Outdoors,1
2020-01-01,P00046,3,1651.49,515.02,Books,1
2020-01-01,P00049,5,1551.96,346.98,Toys & Games,1
2020-01-01,P00050,9,4322.08,436.80333333333334,Toys & Games,1
2020-01-02,P00003,2,968.87,442.96,Sports & Outdoors,0
2020-01-02,P00004,2,1063.28,474.39,Home & Kitchen,0
2020-01-02,P00006,1,162.54,162.63,Sports & Outdoors,0
2020-01-02,P00007,3,1180.12,449.71,Clothing,0
2020-01-02,P00008,2,601.45,284.36,Toys & Games,0
2020-01-02,P00009,3,1751.27,520.47,Home & Kitchen,0
2020-01-02,P00013,5,1726.02,392.52,Electronics,0
2020-01-02,P00016,3,308.06,91.29,Toys & Games,0
2020-01-02,P00017,2,672.29,295.22,Toys & Games,0
2020-01-02,P00019,3,1143.29,345.67,Books,0
2020-01-02,P00020,7,2654.63,440.29999999999995,Toys & Games,0
2020-01-02,P00021,5,3319.22,590.17,Clothing,0
2020-01-02,P00022,11,4229.96,403.4466666666667,Toys & Games,0
2020-01-02,P00023,3,521.6999999999999,150.55,Electronics,0
2020-01-02,P00025,9,4535.860000000001,488.505,Toys & Games,0
2020-01-02,P00027,5,1245.18,246.54,Toys & Games,0
2020-01-02,P00030,4,997.02,230.35500000000002,Sports & Outdoors,0
2020-01-02,P00031,3,653.41,241.51,Home & Kitchen,0
2020-01-02,P00033,2,908.28,401.85,Books,0
2020-01-02,P00034,3,1029.69,273.99,Sports & Outdoors,0
2020-01-02,P00035,4,2108.73,527.25,Books,0
2020-01-02,P00036,5,1078.33,175.015,Sports & Outdoors,0
2020-01-02,P00037,2,974.86,564.9,Toys & Games,0
2020-01-02,P00038,7,424.45,63.629999999999995,Toys & Games,0
2020-01-02,P00039,5,936.62,190.92,Clothing,0
2020-01-02,P00040,4,1989.04,589.85,Clothing,0
2020-01-02,P00042,2,1130.89,559.59,Toys & Games,0
2020-01-02,P00046,8,3689.95,520.15,Clothing,0
2020-01-02,P00047,6,1517.6899999999998,186.96,Toys & Games,0
2020-01-02,P00048,5,923.41,205.85,Home & Kitchen,0
2020-01-02,P00049,4,873.6899999999999,280.65,Books,0
2020-01-02,P00050,2,95.51,47.96,Sports & Outdoors,0
2020-01-03,P00001,5,1939.84,491.94,Books,0
2020-01-03,P00003,6,2233.8599999999997,221.275,Home & Kitchen,0
2020-01-03,P00005,5,853.15,143.73,Sports & Outdoors,0
2020-01-03,P00006,5,456.72,86.68,Clothing,0
2020-01-03,P00008,4,855.69,304.68,Sports & Outdoors,0
2020-01-03,P00009,2,896.52,568.61,Toys & Games,0
2020-01-03,P00010,3,426.98,154.33,Clothing,0
2020-01-03,P00011,1,247.15,256.11,Home & Kitchen,0
2020-01-03,P00012,4,193.9,45.09,Books,0
2020-01-03,P00013,2,134.77,56.22,Sports & Outdoors,0
2020-01-03,P00014,10,4076.53,395.95,Clothing,0
2020-01-03,P00017,4,2159.68,498.43,Clothing,0
2020-01-03,P00018,1,529.6,546.34,Clothing,0
2020-01-03,P00020,5,1453.6,290.22,Home & Kitchen,0
2020-01-03,P00021,4,1451.69,442.02,Clothing,0
2020-01-03,P00026,2,15.85,7.92,Toys & Games,0
2020-01-03,P00027,3,1195.44,438.0,Clothing,0
2020-01-03,P00031,8,1994.6399999999999,181.66666666666666,Toys & Games,0
2020-01-03,P00032,1,430.41,393.35,Electronics,0
2020-01-03,P00034,9,2023.49,222.3175,Sports & Outdoors,0
2020-01-03,P00035,12,3052.1,242.74333333333334,Home & Kitchen,0
2020-01-03,P00038,9,3167.9300000000003,392.525,Home & Kitchen,0
2020-01-03,P00039,8,2044.42,283.3733333333333,Home & Kitchen,0
2020-01-03,P00040,5,604.23,250.105,Clothing,0
2020-01-03,P00041,4,605.6,137.46,Books,0
2020-01-03,P00043,3,1359.78,597.29,Toys & Games,0
2020-01-03,P00045,3,1672.17,555.12,Toys & Games,0
2020-01-03,P00046,5,231.55,41.96,Electronics,0
2020-01-03,P00048,3,828.36,291.54,Sports & Outdoors,0
2020-01-03,P00049,5,1361.25,259.02,Clothing,0
2020-01-03,P00050,5,2247.26,557.575,Clothing,0
2020-01-04,P00001,3,972.0,232.83,Books,0
2020-01-04,P00002,3,1725.28,540.99,Electronics,0
2020-01-04,P00003,9,2711.04,327.57,Toys & Games,0
2020-01-04,P00004,5,3101.85,573.89,Clothing,0
2020-01-04,P00007,1,399.42,469.98,Clothing,0
2020-01-04,P00008,3,1132.66,418.53,Clothing,0
2020-01-04,P00009,4,546.89,136.98,Home & Kitchen,0
2020-01-04,P00012,4,1604.2,474.99,Clothing,0
2020-01-04,P00013,8,3554.67,456.0366666666667,Clothing,0
2020-01-04,P00015,3,36.19,10.81,Sports & Outdoors,0
2020-01-04,P00016,1,397.1,346.37,Books,0
2020-01-04,P00017,9,3758.67,379.77000000000004,Toys & Games,0
2020-01-04,P00018,15,5265.9800000000005,334.39,Electronics,0
2020-01-04,P00021,5,2040.23,416.74,Clothing,0
2020-01-04,P00022,5,239.18,45.42,Books,0
2020-01-04,P00023,19,4743.01,297.15,Home & Kitchen,0
2020-01-04,P00025,3,1292.27,529.46,Books,0
2020-01-04,P00026,3,1185.72,402.605,Books,0
2020-01-04,P00027,4,1099.79,251.77,Home & Kitchen,0
2020-01-04,P00028,4,1115.13,256.04,Toys & Games,0
2020-01-04,P00030,12,643.37,62.34,Sports & Outdoors,0
2020-01-04,P00032,4,1753.65,388.89,Sports & Outdoors,0
2020-01-04,P00034,4,1404.76,388.36,Books,0
2020-01-04,P00037,5,280.89,51.99,Home & Kitchen,0
2020-01-04,P00038,10,3874.99,386.68666666666667,Books,0
2020-01-04,P00039,6,1165.1,175.42,Home & Kitchen,0
2020-01-04,P00040,3,1600.56,531.11,Home & Kitchen,0
2020-01-04,P00041,5,1682.38,353.57,Home & Kitchen,0
2020-01-04,P00042,3,205.33,67.24,Books,0
2020-01-04,P00043,2,1198.7,549.43,Clothing,0
2020-01-04,P00044,4,452.42,98.75,Electronics,0
2020-01-04,P00045,2,498.86,270.91,Toys & Games,0
2020-01-04,P00047,11,2661.81,171.00666666666666,Electronics,0
2020-01-04,P00048,9,2823.49,303.195,Toys & Games,0
2020-01-04,P00050,6,1405.4,315.925,Toys & Games,0
2020-01-05,P00001,1,366.03,355.66,Sports & Outdoors,0
2020-01-05,P00002,4,857.69,265.69,Books,0
2020-01-05,P00003,3,494.4,150.67,Toys & Games,0
2020-01-05,P00004,7,1450.96,298.995,Home & Kitchen,0
2020-01-05,P00005,3,1340.4,447.46,Toys & Games,0
2020-01-05,P00006,3,1859.76,549.74,Sports & Outdoors,0
2020-01-05,P00008,13,3543.07,289.238,Books,0
2020-01-05,P00009,6,2204.1,341.985,Books,0
2020-01-05,P00010,2,990.83,452.71,Sports & Outdoors,0
2020-01-05,P00011,6,1737.89,300.15999999999997,Toys & Games,0
2020-01-05,P00012,3,1133.08,399.47,Clothing,0
2020-01-05,P00013,5,1575.9,399.66,Home & Kitchen,0
2020-01-05,P00015,6,967.97,222.82999999999998,Sports & Outdoors,0
2020-01-05,P00017,5,554.15,94.845,Sports & Outdoors,0
2020-01-05,P00022,5,2084.28,451.59,Sports & Outdoors,0
2020-01-05,P00023,3,385.4,131.75,Books,0
2020-01-05,P00027,3,377.64,132.08,Sports & Outdoors,0
2020-01-05,P00029,8,3493.39,432.66999999999996,Books,0
2020-01-05,P00031,3,128.14,46.15,Books,0
2020-01-05,P00032,3,1485.85,517.01,Electronics,0
2020-01-05,P00034,1,38.55,47.24,Books,0
2020-01-05,P00035,8,2733.1400000000003,353.76,Toys & Games,0
2020-01-05,P00036,5,276.1,51.43,Books,0
2020-01-05,P00038,9,2533.43,230.32,Toys & Games,0
2020-01-05,P00041,4,1890.33,443.52,Electronics,0
2020-01-05,P00042,5,3053.59,572.07,Electronics,0
2020-01-05,P00044,5,2179.79,402.865,Clothing,0
2020-01-05,P00045,3,1789.14,555.89,Clothing,0
2020-01-05,P00046,3,1284.78,495.1,Books,0
2020-01-05,P00049,3,395.82,158.20499999999998,Home & Kitchen,0
2020-01-05,P00050,3,296.53,95.47,Toys & Games,0
2020-01-06,P00001,2,1151.35,512.73,Toys & Games,0
2020-01-06,P00002,1,319.78,363.42,Sports & Outdoors,0
2020-01-06,P00003,9,2619.65,309.845,Toys & Games,0
2020-01-06,P00005,4,1797.83,413.22,Sports & Outdoors,0
2020-01-06,P00009,5,1712.85,245.95499999999998,Clothing,0
2020-01-06,P00010,6,1726.1100000000001,313.135,Toys & Games,0
2020-01-06,P00011,6,2892.58,539.27,Electronics,0
2020-01-06,P00012,2,880.97,426.83,Toys & Games,0
2020-01-06,P00015,4,935.21,216.25,Sports & Outdoors,0
2020-01-06,P00016,4,2362.87,545.1,Home & Kitchen,0
2020-01-06,P00018,4,1630.52,377.17,Electronics,0
2020-01-06,P00019,3,443.06,190.70999999999998,Sports & Outdoors,0
2020-01-06,P00020,2,1098.77,563.83,Clothing,0
2020-01-06,P00021,3,1872.46,575.47,Books,0
2020-01-06,P00025,7,3893.19,468.69500000000005,Toys & Games,0
2020-01-06,P00027,4,1410.5900000000001,251.61999999999998,Sports & Outdoors,0
2020-01-06,P00028,2,1110.46,583.14,Home & Kitchen,0
2020-01-06,P00029,5,1631.29,310.26,Books,0
2020-01-06,P00030,3,869.94,376.735,Home & Kitchen,0
2020-01-06,P00031,1,72.18,55.4,Sports & Outdoors,0
2020-01-06,P00033,10,3057.85,320.21250000000003,Books,0
2020-01-06,P00034,6,2158.98,321.53499999999997,Electronics,0
2020-01-06,P00035,2,91.76,39.58,Electronics,0
2020-01-06,P00036,5,3233.28,597.16,Home & Kitchen,0
2020-01-06,P00038,7,1680.04,420.23,Books,0
2020-01-06,P00039,3,1264.71,444.67,Books,0
2020-01-06,P00040,2,961.26,451.08,Home & Kitchen,0
2020-01-06,P00041,3,608.26,305.265,Electronics,0
2020-01-06,P00042,4,278.57,113.79,Home & Kitchen,0
2020-01-06,P00043,15,3383.8,253.86800000000002,Sports & Outdoors,0
2020-01-06,P00044,10,2063.64,196.53333333333333,Electronics,0
2020-01-06,P00045,4,2507.54,557.69,Sports & Outdoors,0
2020-01-06,P00047,5,3202.66,593.01,Sports & Outdoors,0
2020-01-06,P00048,8,1511.05,264.60999999999996,Clothing,0
2020-01-06,P00049,2,367.4,206.87,Sports & Outdoors,0
2020-01-06,P00050,2,742.28,339.72,Toys & Games,0
2020-01-07,P00002,5,2936.83,586.49,Books,0
2020-01-07,P00003,5,1615.69,358.79,Sports & Outdoors,0
2020-01-07,P00004,4,1854.82,434.61,Books,0
2020-01-07,P00005,1,313.52,289.75,Home & Kitchen,0
2020-01-07,P00006,4,1197.88,279.44,Books,0
2020-01-07,P00007,8,685.72,165.68333333333334,Books,0
2020-01-07,P00009,4,726.93,161.75,Toys & Games,0
2020-01-07,P00010,1,134.57,117.2,Electronics,0
2020-01-07,P00011,4,1517.76,358.11,Clothing,0
2020-01-07,P00012,8,1858.67,225.21500000000003,Books,0
2020-01-07,P00016,2,311.04,147.53,Sports & Outdoors,0
2020-01-07,P00017,2,313.67,171.3,Home & Kitchen,0
2020-01-07,P00018,2,367.73,176.31,Clothing,0
2020-01-07,P00020,8,872.33,99.73,Clothing,0
2020-01-07,P00022,4,479.06,148.04,Toys & Games,0
2020-01-07,P00024,3,519.48,181.03,Books,0
2020-01-07,P00026,11,4886.98,438.3775,Books,0
2020-01-07,P00027,7,2525.12,431.69000000000005,Books,0
2020-01-07,P00028,5,841.91,158.11,Clothing,0
